#########################################
#
# wikipedia-en.txt
#
#########################################
@lang=en
#########################################
Daniels, A. Polak|A._Polak_Daniels
Renaud, Georges|Georges_Renaud
Tringov, Georgi|Georgi_Tringov
Geshev, Georgy|Georgy_Geshev
Lisitsin, Georgy|Georgy_Lisitsin
Abrahams, Gerald|Gerald_Abrahams
Oskam, Gerard|Gerard_Oskam
Barbero, Gerardo|Gerardo_Barbero
Budowski, Gerardo|Gerardo_Budowski
Pfeiffer, Gerhard|Gerhard_Pfeiffer
Rotlewi, Gersz|Gersz_Rotlewi
Salwe, Gersz|Gersz_Salwe
Timmerman, Gert Jan|Gert_Jan_Timmerman
Fuester, Geza|G%C3%A9za_F%C3%BCster
Maroczy, Geza|Geza_Maroczy
Nagy, Geza|G%C3%A9za_Nagy
Lolli, Giambattista|Giambattista_Lolli
Stahlberg, Gideon|Gideon_Stahlberg
Guerrero, Gilberto Hernandez|Gilberto_Hernandez_Guerrero
Milos, Gilberto|Gilberto_Milos
Greco, Gioachino|Gioachino_Greco
Cenni, Giovanni|Giovanni_Cenni
Leonardo, Giovanni|Giovanni_Leonardo
Martinolich, Giovanni|Giovanni_Martinolich
Vescovi, Giovanni|Giovanni_Vescovi
Gresser, Gisela Kahn|Gisela_Kahn_Gresser
