#########################################
#
# wikipedia-de.txt
#
#########################################
@lang=de
#########################################
Nimzowitsch, Aaron|Aaron_Nimzowitsch
Yrjoelae, Jouni|Jouni_Yrj%C3%B6l%C3%A4
Horvath, Jozsef|J%C3%B3zsef_Horv%C3%A1th
Pinter, Jozsef|J%C3%B3zsef_Pint%C3%A9r
Szen, Jozsef|J%C3%B3zsef_Sz%C3%A9n
Polgar, Judit|Judit_Polg%C3%A1r
Dueball, Juergen|J%C3%BCrgen_Dueball
Fleck, Juergen|J%C3%BCrgen_Fleck
Graf, Juergen|J%C3%BCrgen_Graf_%28Schachspieler%29
Pichler, Juergen|J%C3%BCrgen_Pichler
Riviere, Jules Arnous de|Jules_Arnous_de_Rivi%C3%A8re
Hodgson, Julian|Julian_Hodgson
Radulski, Julian|Julian_Radulski
Hund, Juliane|Juliane_Hund
Zuniga, Julio Ernesto Granda|Julio_Ernesto_Granda_Z%C3%BA%C3%B1iga
Perlis, Julius|Julius_Perlis_%28Schachspieler%29
Awerbach, Juri|Juri_Lwowitsch_Awerbach
Balaschow, Juri|Juri_Sergejewitsch_Balaschow
Rasuwajew, Juri|Juri_Sergejewitsch_Rasuwajew
Kuelaots, Kaido|Kaido_K%C3%BClaots
Mokry, Karel|Karel_Mokr%C3%BD
Traxler, Karel|Karel_Traxler
Asrjan, Karen|Karen_Asrjan
Gilg, Karl|Karl_Gilg
Robatsch, Karl|Karl_Robatsch
Maeder, Karl-Heinz|Karl-Heinz_Maeder
Podzielny, Karl-Heinz|Karl-Heinz_Podzielny
Mueller, Karsten|Karsten_M%C3%BCller
Rohonyan, Katerina|Katerina_Rohonyan
Lahno, Kateryna|Kateryna_Lahno
Rogoff, Kenneth S.|Kenneth_S._Rogoff
Arachamia-Grant, Ketewan|Ketewan_Arachamia-Grant
Kachiani-Gersinska, Ketino|Ketino_Kachiani-Gersinska
Spraggett, Kevin|Kevin_Spraggett
Georgiew, Kiril|Kiril_Georgiew
Lie, Kjetil|Kjetil_Lie
Bischoff, Klaus|Klaus_Bischoff
Darga, Klaus|Klaus_Darga
Engel, Klaus|Klaus_Engel
Junge, Klaus|Klaus_Junge
Klundt, Klaus|Klaus_Klundt
Wockenfuss, Klaus|Klaus_Wockenfu%C3%9F
Humpy, Koneru|K._Humpy
Landa, Konstantin|Konstantin_Landa
Lerner, Konstantin|Konstantin_Lerner
Sakajew, Konstantin Rufowitsch|Konstantin_Rufowitsch_Sakajew
Sakajew, Konstantin|Konstantin_Rufowitsch_Sakajew
Sasikiran, Krishnan|K._Sasikiran
Hulak, Krunoslav|Krunoslav_Hulak
